sku,qty,ref,val
A-965,1,C1 ,0.001u
A-1063,2,C10 C11 ,100u
A-4543,2,C12 C13 ,220u
A-214,12,C5 C2 C7 C9 C14 C18 C19 C15 C16 C17 C3 C4 ,0.1u
A-4022,2,C6 C8 ,0.33u
A-3005,1,D1 ,LED
A-155,2,D4 D5 ,1n4007
610-1N4614TRPB,1,D6 ,zener_1.8v
A-1095,1,D7 ,bat46
A-2956,1,J2 ,europower
A-2563,3,J4 J3 J5 ,mono_jack_3.5mm
490-RCJ-024,4,J6 J10 J1 J9 ,rca
A-4118,1,J7 ,barrel_jack
-,1,J8 ,diy_power_header
A-2246,1,R11 ,220
A-2180,1,R12 ,470k
A-2192,1,R14 ,680k
A-2200,1,R16 ,1k
A-2203,2,R18 R9 ,10k
A-2279,1,R19 ,47k
A-2621,1,R3 ,510
A-2313,1,R5 ,39k
A-2202,5,R6 R15 R17 R2 R4 ,1.5k
A-2245,1,R7 ,100
A-2193,4,R8 R13 R20 R1 ,75
652-PTV09A-4025FB103,1,RV1 ,10k_pot
A-610,1,RV2 ,5k_trim
584-AD8072JNZ,1,U1 ,AD8072
595-CD74HC4538E,1,U2 ,74HC4538
A-179,1,U3 ,L7805
A-258,1,U4 ,L7905
584-LT1251CN#PBF,1,U5 ,LT1251
926-LM1881MX/NOPB,1,U6 ,LM1881
A-1151,1,U7 ,CD4053B
