sku,qty,ref,val,single_amount
A-965,10,C1 ,0.001u,1
A-1063,20,C10 C11 ,100u,2
A-4543,20,C12 C13 ,220u,2
A-214,120,C5 C2 C7 C9 C14 C18 C19 C15 C16 C17 C3 C4 ,0.1u,12
A-4022,20,C6 C8 ,0.33u,2
A-3005,10,D1 ,LED,1
A-155,20,D4 D5 ,1n4007,2
A-1095,10,D7 ,bat46,1
A-2956,10,J2 ,europower,1
A-2563,30,J4 J3 J5 ,mono_jack_3.5mm,3
A-4118,10,J7 ,barrel_jack,1
A-2246,10,R11 ,220,1
A-2180,10,R12 ,470k,1
A-2192,10,R14 ,680k,1
A-2200,10,R16 ,1k,1
A-2203,20,R18 R9 ,10k,2
A-2279,10,R19 ,47k,1
A-2621,10,R3 ,510,1
A-2313,10,R5 ,39k,1
A-2202,50,R6 R15 R17 R2 R4 ,1.5k,5
A-2245,10,R7 ,100,1
A-2193,40,R8 R13 R20 R1 ,75,4
A-610,10,RV2 ,5k_trim,1
A-179,10,U3 ,L7805,1
A-258,10,U4 ,L7905,1
A-1151,10,U7 ,CD4053B,1
